player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Matheus Cunha,Brazil,Brazil,"FW,MF",27-022,1999,Manchester Utd,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,30.0,33.3,,0,1,30.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Raphinha,Brazil,Brazil,MF,29-186,1996,Barcelona,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.0,1.0,0.0,0.0,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,2.0,0.0,4.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Rayan,Brazil,Brazil,MF,19-319,2006,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Ibanez,Brazil,Brazil,DF,27-207,1998,Al-Ahli,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,50.0,45.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Vinicius Júnior,Brazil,Brazil,FW,25-341,2000,Real Madrid,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,3.0,2.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Wéverton,Brazil,Brazil,GK,38-187,1987,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Éderson,Brazil,Brazil,MF,26-346,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Jones,Canada,Canada,"DF,MF",28-254,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Ahmed,Canada,Canada,MF,25-251,2000,Norwich City,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,30.0,33.3,,0,1,30.0,0,1.0,1.0,0.0,1.0,3.0,4.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Alistair Johnston,Canada,Canada,DF,27-253,1998,Celtic,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Alphonso Davies,Canada,Canada,"DF,FW",25-228,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyle Larin,Canada,Canada,"FW,MF",31-062,1995,Mallorca,1,0,15.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,6.0,2.0,1.0,50.0,12.0,6.0,0.5,1.0,15.0,16.7,,0,1,15.0,0,1.0,1.0,0.0,1.0,6.0,7.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Dayne St. Clair,Canada,Canada,GK,29-040,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Cornelius,Canada,Canada,DF,28-205,1997,Marseille,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Ismaël Koné,Canada,Canada,MF,24-002,2002,Sassuolo,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,2.0,0.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jacob Shaffelburg,Canada,Canada,MF,26-204,1999,LAFC,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,30.0,33.3,,0,1,30.0,0,1.0,1.0,0.0,1.0,3.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jayden Nelson,Canada,Canada,"FW,MF",23-265,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Waterman,Canada,Canada,DF,30-145,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan David,Canada,Canada,FW,26-155,2000,Juventus,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,4.5,1.5,0.0,0.0,60.0,66.7,60.0,0,0,,0,1.0,0.0,1.0,-1.0,-1.5,-4.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jonathan Osorio,Canada,Canada,MF,34-006,1992,Toronto FC,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,1.1,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Liam Millar,Canada,Canada,MF,26-264,1999,Hull City,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,60.0,66.7,60.0,0,0,,0,1.0,0.0,1.0,-1.0,-1.5,-4.5,0.0,1.0,0.0,0.0,4.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Luc De Fougerolles,Canada,Canada,DF,20-249,2005,Fulham,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,4.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
